agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,date,mean_va
USGS,6479010,60,128843,11,14,2014,2021,8,11/14/2015,255
USGS,6479010,60,128843,11,15,2014,2021,8,11/15/2015,255
USGS,6479010,60,128843,11,16,2014,2021,8,11/16/2015,255
USGS,6479010,60,128843,11,17,2014,2021,8,11/17/2015,255
USGS,6479010,60,128843,11,18,2014,2021,8,11/18/2015,253
USGS,6479010,60,128843,11,19,2014,2021,8,11/19/2015,259
USGS,6479010,60,128843,11,20,2014,2021,8,11/20/2015,261
USGS,6479010,60,128843,11,21,2014,2021,8,11/21/2015,252
USGS,6479010,60,128843,11,22,2014,2021,8,11/22/2015,242
USGS,6479010,60,128843,11,23,2014,2021,8,11/23/2015,241
USGS,6479010,60,128843,11,24,2014,2021,8,11/24/2015,256
USGS,6479010,60,128843,11,25,2014,2021,8,11/25/2015,265
USGS,6479010,60,128843,11,26,2014,2021,8,11/26/2015,258
USGS,6479010,60,128843,11,27,2014,2021,8,11/27/2015,237
USGS,6479010,60,128843,11,28,2014,2021,8,11/28/2015,239
USGS,6479010,60,128843,11,29,2014,2021,8,11/29/2015,267
USGS,6479010,60,128843,11,30,2014,2021,8,11/30/2015,285
USGS,6479010,60,128843,12,1,2014,2021,8,12/1/2015,279
USGS,6479010,60,128843,12,2,2014,2021,8,12/2/2015,265
USGS,6479010,60,128843,12,3,2014,2021,8,12/3/2015,248
USGS,6479010,60,128843,12,4,2014,2021,8,12/4/2015,235
USGS,6479010,60,128843,12,5,2014,2021,8,12/5/2015,233
USGS,6479010,60,128843,12,6,2014,2021,8,12/6/2015,227
USGS,6479010,60,128843,12,7,2014,2021,8,12/7/2015,213
USGS,6479010,60,128843,12,8,2014,2021,8,12/8/2015,212
USGS,6479010,60,128843,12,9,2014,2021,8,12/9/2015,218
USGS,6479010,60,128843,12,10,2014,2021,8,12/10/2015,227
USGS,6479010,60,128843,12,11,2014,2021,8,12/11/2015,237
USGS,6479010,60,128843,12,12,2014,2021,8,12/12/2015,238
USGS,6479010,60,128843,12,13,2014,2021,8,12/13/2015,237
USGS,6479010,60,128843,12,14,2014,2021,8,12/14/2015,227
USGS,6479010,60,128843,12,15,2014,2021,8,12/15/2015,219
USGS,6479010,60,128843,12,16,2014,2021,8,12/16/2015,214
USGS,6479010,60,128843,12,17,2014,2021,8,12/17/2015,205
USGS,6479010,60,128843,12,18,2014,2021,8,12/18/2015,192
USGS,6479010,60,128843,12,19,2014,2021,8,12/19/2015,185
USGS,6479010,60,128843,12,20,2014,2021,8,12/20/2015,186
USGS,6479010,60,128843,12,21,2014,2021,8,12/21/2015,188
USGS,6479010,60,128843,12,22,2014,2021,8,12/22/2015,188
USGS,6479010,60,128843,12,23,2014,2021,8,12/23/2015,184
USGS,6479010,60,128843,12,24,2014,2021,8,12/24/2015,177
USGS,6479010,60,128843,12,25,2014,2021,8,12/25/2015,171
USGS,6479010,60,128843,12,26,2014,2021,8,12/26/2015,168
USGS,6479010,60,128843,12,27,2014,2021,8,12/27/2015,165
USGS,6479010,60,128843,12,28,2014,2021,8,12/28/2015,164
USGS,6479010,60,128843,12,29,2014,2021,8,12/29/2015,163
USGS,6479010,60,128843,12,30,2014,2021,8,12/30/2015,160
USGS,6479010,60,128843,12,31,2014,2021,8,12/31/2015,158
